2023-10-27T14:31:44.886  Database calls and statement text by call end time

mrskew --rc=calls.rc --top=0 "C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc"

input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

where expression:
	((1) and (1)) and $is_dbcall

group expression:
	sprintf("%27s %10d %10d %10d  %-40.40s %-.46s", $time1, $line, $parse_id, $exec_id, "· "x$dep.$name.(scalar(@bind)?"(".join(",",@bind).")":""), "· "x$dep.$sql)

matched input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

matched call names:
	'CLOSE'
	'ERROR'
	'EXEC'
	'FETCH'
	'PARSE'
	'XCTEND'

                   END-TIMe       LINE   PARSE-ID    EXEC-ID  CALL-NAME(BOUND-VALUES)                  STATEMENT-TEXT                                
 2023-10-26T14:52:33.243461        221        211        219  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.243551        222        222          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.243615        230        222        230  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.243634        231        222        230  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.243664        232        222        230  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.244339        239        239          0  PARSE                                    update ticketsales set capacity = capacity - 7
 2023-10-26T14:52:33.244482        254         72        254  · EXEC(04000100330500,1,)                · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:52:33.244584        255         72        254  · FETCH(04000100330500,1,)               · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:52:33.244938        260        260          0  · PARSE                                  · select o.name, c.name, decode(bitand(cd.defe
 2023-10-26T14:52:33.245893        268        260        268  · EXEC(8245)                             · select o.name, c.name, decode(bitand(cd.defe
 2023-10-26T14:52:33.245943        269        260        268  · FETCH(8245)                            · select o.name, c.name, decode(bitand(cd.defe
 2023-10-26T14:52:33.246058        278        260        268  · CLOSE(8245)                            · select o.name, c.name, decode(bitand(cd.defe
 2023-10-26T14:52:33.246097        279        239        279  EXEC                                     update ticketsales set capacity = capacity - 7
                                   280        239        279  ERROR                                    update ticketsales set capacity = capacity - 7
 2023-10-26T14:52:33.255272        287        239        279  CLOSE                                    update ticketsales set capacity = capacity - 7
 2023-10-26T14:52:33.282680        317        317          0  PARSE                                    declare l_theCursor integer default dbms_sql.o
 2023-10-26T14:52:33.283564        322        322          0  · PARSE                                  · select owner#,name,namespace,remoteowner,lin
 2023-10-26T14:52:33.284167        344        322        344  · EXEC(8580)                             · select owner#,name,namespace,remoteowner,lin
 2023-10-26T14:52:33.284259        345        322        344  · FETCH(8580)                            · select owner#,name,namespace,remoteowner,lin
 2023-10-26T14:52:33.284293        346        322        344  · FETCH(8580)                            · select owner#,name,namespace,remoteowner,lin
 2023-10-26T14:52:33.284507        356        322        344  · CLOSE(8580)                            · select owner#,name,namespace,remoteowner,lin
 2023-10-26T14:52:33.284557        361        361          0  · PARSE                                  · select order#,columns,types from access$ whe
 2023-10-26T14:52:33.284663        369        361        369  · EXEC(8580)                             · select order#,columns,types from access$ whe
 2023-10-26T14:52:33.284685        370        361        369  · FETCH(8580)                            · select order#,columns,types from access$ whe
 2023-10-26T14:52:33.284756        373        361        369  · CLOSE(8580)                            · select order#,columns,types from access$ whe
 2023-10-26T14:52:33.290230        396        396          0  · · PARSE                                · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290326        404        396        404  · · EXEC(00008151.001C.0001)             · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290361        405        396        404  · · FETCH(00008151.001C.0001)            · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290384        406        396        404  · · CLOSE(00008151.001C.0001)            · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290522        407        407          0  · · PARSE                                · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290601        415        407        415  · · EXEC(00008151.001C.0001)             · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290618        416        407        415  · · FETCH(00008151.001C.0001)            · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.290634        417        407        415  · · CLOSE(00008151.001C.0001)            · · select condition from cdef$ where rowid=:1
 2023-10-26T14:52:33.291451        424        424          0  · PARSE                                  · update ticketsales set capacity = capacity -
 2023-10-26T14:52:33.291512        425        424          0  · CLOSE                                  · update ticketsales set capacity = capacity -
